Age,Gender,Weight (kg),Height (m),BMI,BMI_Category,Experience_Level,Session_Duration (hours),Calories_Burned,Name of Exercise,Difficulty Level,Reps,Burns Calories (per 30 min),target_muscles,focus_area,strength,cardio,hiit,yoga,calories_norm,difficulty_norm,weight_gain_score,weight_loss_score
44.1,0,89.6,1.99,22.63,1,13,1.4,1848,Shoulder Press,0,14.99,339.35,"['deltoids', 'triceps']",upperbody,1,0,0,0,0.832542694,0,0.474881404,0.2
18.06,1,58.56,1.61,22.59,2,28,1.9,2226.42,Tricep Dips,0,24.98,334.26,['triceps'],upperbody,1,0,0,0,0.812420936,0,0.47186314,0.2
57.07,0,76.9,1.86,22.23,1,12,1.15,827.31,Kettlebell Swings,1,16.01,353.89,"['glutes', 'hamstrings', 'core']",fullbody,1,0,1,0,0.890022138,0.5,0.733503321,0.625
49.66,1,52.57,1.84,15.53,0,13,1.38,1324.8,Resistance Band Pull-Aparts,1,16.02,346.31,"['rear_delts', 'rhomboids']",upperbody,1,0,0,1,0.860056926,0.5,0.529008539,0.325
31.63,1,126.53,1.83,37.78,3,11,1.1,790.68,Leg Raises,1,18.06,361.2,"['lower_abs', 'hip_flexors']",core,1,0,0,0,0.918919987,0.5,0.487837998,0.275
41.8,1,59.72,1.74,19.73,1,26,1.78,2545.4,Tricep Extensions,1,15.88,364.95,['triceps'],upperbody,1,0,0,0,0.933744466,0.5,0.49006167,0.275
37.51,1,76.59,1.82,23.12,1,13,1.49,1072.8,Deadlifts,1,19.04,344.07,"['glutes', 'hamstrings', 'back']",fullbody,1,0,0,0,0.851201771,0.5,0.477680266,0.275
39.98,1,79.99,1.76,25.82,2,23,1.63,1902.7,Dead Bugs,1,21.92,348.23,"['transverse_abs', 'core']",core,1,0,0,1,0.867647059,0.5,0.530147059,0.325
25.49,0,127.55,1.73,42.62,3,0,1.33,1607.84,Frog Jumps,1,10.07,130.05,"['glutes', 'quads']",lowerbody,0,1,1,0,0.005139152,0.5,0.450770873,0.675
58.24,0,56.96,1.7,19.71,1,0,0.74,895.4,Scissors Kicks,0,16.02,357.81,['lower_abs'],core,1,0,1,0,0.905518659,0,0.735827799,0.55
48.18,0,56.53,1.51,24.79,1,10,1.37,1311.91,Plyometric Push-ups,2,23.09,330.57,"['chest', 'shoulders']",upperbody,0,0,1,0,0.79783365,1,0.369675047,0.5
27.19,1,88.2,1.98,22.5,1,28,1.8,2577.96,Frog Jumps,0,23.96,336.55,"['glutes', 'quads']",lowerbody,0,1,1,0,0.821473751,0,0.573221063,0.6
40.14,1,51.72,1.61,19.95,1,0,0.86,566.57,Push Ups,2,23,359.4,"['chest', 'shoulders', 'triceps']",upperbody,1,0,0,0,0.911804238,1,0.486770636,0.35
41.1,0,77.05,1.79,24.05,1,14,1.4,1849.54,Leg Press,0,22.02,331.76,"['quads', 'glutes']",lowerbody,1,0,0,0,0.802537951,0,0.470380693,0.2
52.36,0,51.93,1.67,18.62,1,2,1.5,1818.3,Bench Press,2,18,350.88,"['chest', 'shoulders', 'triceps']",upperbody,1,0,0,0,0.878123023,1,0.481718454,0.35
36.02,0,109.87,1.77,35.07,3,1,1.19,786.11,Inverted Rows,2,22.99,369.34,"['upper_back', 'biceps']",upperbody,1,0,0,0,0.951098988,1,0.492664848,0.35
33.07,1,102.83,1.75,33.58,3,8,1.4,1003.8,Bench Press,1,21.02,363.78,"['chest', 'shoulders', 'triceps']",upperbody,1,0,0,0,0.929119228,0.5,0.489367884,0.275
37.35,0,88.65,1.79,27.67,2,27,1.74,2490.11,Russian Twists,1,21.86,373.65,"['obliques', 'abs']",core,1,0,0,0,0.968137255,0.5,0.495220588,0.275
21.24,0,80.78,1.9,22.38,1,27,1.8,2575.98,Russian Twists,1,17.95,355.67,"['obliques', 'abs']",core,1,0,0,0,0.897058824,0.5,0.484558824,0.275
25.76,0,70.53,1.5,31.35,3,0,1.15,1011.08,Seated Rows,2,21.05,368.91,"['mid_back', 'lats']",upperbody,1,0,0,0,0.949399114,1,0.492409867,0.35
40.09,1,54.73,1.61,21.11,1,26,1.55,1209,Calf Raises,1,18.01,333.31,['calves'],lowerbody,1,0,0,0,0.808665402,0.5,0.47129981,0.275
32.59,1,52.75,1.66,19.14,1,1,1.26,1248.53,Reverse Lunges,0,24.13,350.36,"['glutes', 'hamstrings']",lowerbody,1,0,0,0,0.876067362,0,0.481410104,0.2
52.62,0,84.36,1.76,27.23,2,24,1.68,1308.38,Russian Twists,1,22.96,351.92,"['obliques', 'abs']",core,1,0,0,0,0.882234345,0.5,0.482335152,0.275
58.93,0,59.66,1.76,19.26,1,25,1.72,1787.42,Deadlift,1,14.96,337.04,"['glutes', 'hamstrings', 'back']",fullbody,1,0,0,0,0.823410816,0.5,0.473511622,0.275
52.03,0,59.98,1.71,20.51,1,0,1.24,1499.04,Plyo Squats,0,11.85,199.88,"['quads', 'glutes']",lowerbody,0,0,1,0,0.281190702,0,0.292178605,0.35
30.75,0,76.83,1.62,29.28,2,12,1.39,999.97,Wall Angels,0,17.11,345.11,"['upper_back', 'shoulders']",upperbody,0,0,0,1,0.855313093,0,0.178296964,0.05
29.01,1,58.43,1.61,22.54,1,13,1.2,1296,Mountain Climbers,0,16.03,350.76,"['core', 'shoulders', 'legs']",fullbody,0,1,1,0,0.87764864,0,0.581647296,0.6
39.14,0,71.32,1.88,20.18,1,0,0.55,665.5,Deadlift,0,20.01,367.32,"['glutes', 'hamstrings', 'back']",fullbody,1,0,0,0,0.943113536,0,0.49146703,0.2
39.08,1,55.58,1.71,19.01,1,27,1.96,2039.97,Bear Crawls,0,15.15,340.84,"['shoulders', 'core', 'legs']",fullbody,0,0,1,0,0.838432954,0,0.375764943,0.35
38.16,0,44.9,1.68,15.91,0,15,1.01,1092.62,Tricep Extensions,1,17.95,338.1,['triceps'],upperbody,1,0,0,0,0.827601202,0.5,0.47414018,0.275
26.29,0,59.21,1.51,25.97,2,28,1.69,2420.42,Resistance Band Pull-Aparts,1,19.97,355.43,"['rear_delts', 'rhomboids']",upperbody,1,0,0,1,0.896110057,0.5,0.534416509,0.325
26.92,1,87.68,1.63,33,3,29,1.75,2052.22,Step-ups,0,23.18,372.07,"['glutes', 'quads']",lowerbody,1,0,0,0,0.961891208,0,0.494283681,0.2
45.05,1,63.63,1.54,26.83,2,27,1.66,1727.73,Lateral Raises,2,25,368.48,['lateral_delts'],upperbody,1,0,0,0,0.947699241,1,0.492154886,0.35
58.04,0,109.54,1.91,30.03,3,13,1.48,1065.6,Decline Push-ups,0,15.91,357.61,"['lower_chest', 'triceps']",upperbody,1,0,0,0,0.90472802,0,0.485709203,0.2
56.29,0,125.88,1.86,36.39,3,14,1,960.8,Face Pulls,0,15.05,366.43,"['rear_delts', 'traps']",upperbody,1,0,0,0,0.939595193,0,0.490939279,0.2
50.13,0,70.32,1.68,24.91,1,0,1.16,1147.36,Prone Cobras,2,11.87,259.05,['upper_back'],upperbody,0,0,0,1,0.515101202,1,0.12726518,0.2
56.77,1,85.56,1.69,29.96,2,27,1.77,1842.22,Burpees,0,23.99,346.69,['full_body'],fullbody,0,1,1,0,0.86155914,0,0.579233871,0.6
33.93,0,64.38,1.78,20.32,1,15,1.33,1438.79,Pull-ups,1,23.06,364.26,"['lats', 'biceps']",upperbody,1,0,0,0,0.931016762,0.5,0.489652514,0.275
18.77,1,60.51,1.59,23.93,2,1,1.15,1012.92,Shoulder Press,0,8.11,249.64,"['deltoids', 'triceps']",upperbody,1,0,0,0,0.477901645,0,0.421685247,0.2
28.33,0,69.13,1.58,27.69,2,14,1.49,1073.69,Push-ups,1,24,335.25,"['chest', 'shoulders', 'triceps']",upperbody,1,0,0,0,0.816334598,0.5,0.47245019,0.275
31.96,1,97.49,1.96,25.38,2,12,1.36,1467.58,Squats,1,18.99,371.13,"['quads', 'glutes', 'hamstrings']",lowerbody,1,0,0,0,0.958175206,0.5,0.493726281,0.275
38.76,1,85.97,1.82,25.95,2,28,1.96,2807.11,Box Jumps,2,16.07,340.61,"['glutes', 'quads']",lowerbody,0,0,1,0,0.837523719,1,0.375628558,0.5
36.52,1,56,1.57,22.72,1,1,0.97,961.17,Rows,0,25.05,340.72,"['lats', 'rhomboids']",upperbody,1,0,0,0,0.837958571,0,0.475693786,0.2
52.85,1,47.69,1.76,15.4,0,13,1.06,1399.2,Kettlebell Swings,1,17.11,344.91,"['glutes', 'hamstrings', 'core']",fullbody,1,0,1,0,0.854522454,0.5,0.728178368,0.625
18,0,64.01,1.63,24.09,2,0,0.66,580.8,Push-ups,2,24.97,359.03,"['chest', 'shoulders', 'triceps']",upperbody,1,0,0,0,0.910341556,1,0.486551233,0.35
18,0,62.43,1.59,24.69,2,13,1.23,1180.8,Kettlebell Swings,1,17.97,341.52,"['glutes', 'hamstrings', 'core']",fullbody,1,0,1,0,0.841121126,0.5,0.726168169,0.625
43.69,0,42.16,1.66,15.3,0,0,0.73,481.8,Bird Dogs,1,20.03,335.87,"['core', 'lower_back']",core,0,0,0,1,0.818785579,0.5,0.172817837,0.125
30.47,1,87.22,1.69,30.54,3,27,1.74,1810.99,Plyometric Push-ups,0,17.96,343.62,"['chest', 'shoulders']",upperbody,0,0,1,0,0.849422834,0,0.377413425,0.35
36.85,1,76.15,1.82,22.99,1,14,1.49,1431.59,Seated Rows,1,18.95,343.73,"['mid_back', 'lats']",upperbody,1,0,0,0,0.849857685,0.5,0.477478653,0.275
18.8,0,127.92,1.92,34.7,3,15,1.26,1211.62,Calf Raises,1,16.91,342.75,['calves'],lowerbody,1,0,0,0,0.845983555,0.5,0.476897533,0.275
24.11,1,58.82,1.76,18.99,1,0,0.63,415.42,Calf Raises,0,21.06,339.54,['calves'],lowerbody,1,0,0,0,0.833293801,0,0.47499407,0.2
41.04,0,82.17,1.66,29.82,2,27,1.98,2060.78,Dragon Flags,1,14.98,346.59,"['core', 'hip_flexors']",core,1,0,0,0,0.86116382,0.5,0.479174573,0.275
42.15,0,60.3,1.74,19.92,1,28,1.79,2097.52,Plyometric Push-ups,0,15.99,364.54,"['chest', 'shoulders']",upperbody,0,0,1,0,0.932123656,0,0.389818548,0.35
28.23,1,79.51,1.59,31.45,3,11,1.48,1950.34,Dead Bugs,2,16.05,359.58,"['transverse_abs', 'core']",core,1,0,0,1,0.912515813,1,0.536877372,0.4
53.32,0,55.68,1.55,23.18,1,14,1.13,814.28,Glute Bridges,0,23.99,331.29,"['glutes', 'hamstrings']",lowerbody,1,0,0,0,0.800679949,0,0.470101992,0.2
43.07,1,66.62,1.85,19.47,1,0,1.18,1038.4,Calf Raises,2,23.97,368.93,['calves'],lowerbody,1,0,0,0,0.949478178,1,0.492421727,0.35
26.92,1,103.9,1.68,36.81,3,14,1.29,1239.43,Inverted Rows,2,15.07,351.72,"['upper_back', 'biceps']",upperbody,1,0,0,0,0.881443707,1,0.482216556,0.35
43.35,1,82.51,1.95,21.7,1,23,1.89,2206.2,Lateral Raises,2,20.91,337.98,['lateral_delts'],upperbody,1,0,0,0,0.827126818,1,0.474069023,0.35
40.03,0,62.99,1.53,26.91,2,28,1.93,1507.72,Lat Pulldowns,2,23.02,357.99,"['lats', 'biceps']",upperbody,1,0,0,0,0.906230234,1,0.485934535,0.35
41.29,1,43.56,1.77,13.9,0,1,1.2,792.72,Plyo Squats,0,12.03,164.77,"['quads', 'glutes']",lowerbody,0,0,1,0,0.142394054,0,0.271359108,0.35
19.32,1,73.18,1.79,22.84,1,0,0.82,541.2,Bicycle Crunches,0,24.97,332.18,"['abs', 'obliques']",core,1,0,0,0,0.804198292,0,0.470629744,0.2
30,1,51.78,1.74,17.1,0,13,1.09,784.8,Thrusters,2,15.99,332.85,"['legs', 'shoulders', 'core']",fullbody,1,0,1,0,0.806846932,1,0.72102704,0.7
51.69,0,70.91,1.72,23.97,1,15,1.31,1732.08,Russian Twists,1,18.95,335.2,"['obliques', 'abs']",core,1,0,0,0,0.816136939,0.5,0.472420541,0.275
32.54,0,62.21,1.63,23.41,1,25,1.68,2400.55,Pull-ups,2,18.92,330.95,"['lats', 'biceps']",upperbody,1,0,0,0,0.799335863,1,0.46990038,0.35
21.87,0,51.25,1.59,20.27,1,13,1.28,1382.4,Pull-ups,1,21.98,331.62,"['lats', 'biceps']",upperbody,1,0,0,0,0.801984503,0.5,0.470297676,0.275
45.08,0,51.38,1.65,18.87,1,0,1.44,1266.05,Leg Press,2,22.98,335.22,"['quads', 'glutes']",lowerbody,1,0,0,0,0.816216003,1,0.4724324,0.35
34.09,1,66.37,1.62,25.29,2,1,0.8,792.72,Flutter Kicks,1,15.08,347.56,"['lower_abs', 'hip_flexors']",core,1,0,1,0,0.864998419,0.5,0.729749763,0.625
58.17,1,109.07,1.91,29.9,2,15,1.48,1067.38,Burpees,0,15.91,357.3,['full_body'],fullbody,0,1,1,0,0.90350253,0,0.58552538,0.6
45.59,1,48.5,1.64,18.03,0,15,1.25,1352.25,Flutter Kicks,1,24.9,348.02,"['lower_abs', 'hip_flexors']",core,1,0,1,0,0.866816888,0.5,0.730022533,0.625
25.05,0,64.4,1.71,22.02,1,0,1.12,1355.2,Shoulder Press,2,14.95,340.71,"['deltoids', 'triceps']",upperbody,1,0,0,0,0.837919039,1,0.475687856,0.35
37.35,0,54.63,1.57,22.16,1,1,1.31,1298.08,Frog Jumps,0,20.96,344.03,"['glutes', 'quads']",lowerbody,0,1,1,0,0.851043643,0,0.577656546,0.6
54.23,0,50.32,1.61,19.41,1,2,1.49,1806.18,Bulgarian Split Squats,0,9.9,289.17,"['quads', 'glutes']",lowerbody,1,0,0,0,0.63417141,0,0.445125712,0.2
36.43,1,69.06,1.65,25.37,2,0,1.23,810.32,Lat Pulldowns,0,14.86,341.94,"['lats', 'biceps']",upperbody,1,0,0,0,0.842781467,0,0.47641722,0.2
18.16,1,73.38,1.55,30.54,3,0,0.83,729.07,Glute Bridges,0,21.95,367.63,"['glutes', 'hamstrings']",lowerbody,1,0,0,0,0.944339026,0,0.491650854,0.2
47.62,1,68.77,1.74,22.71,1,12,1.48,1597.07,Russian Twists,0,17.1,361.66,"['obliques', 'abs']",core,1,0,0,0,0.920738457,0,0.488110769,0.2
37.42,1,102.84,1.89,28.79,2,0,0.54,356.08,Step-ups,1,18,365.45,"['glutes', 'quads']",lowerbody,1,0,0,0,0.935721063,0.5,0.490358159,0.275
32.14,0,49.31,1.62,18.79,1,12,1.18,1556.3,Superman,2,22.09,330.85,"['lower_back', 'glutes']",core,0,0,0,1,0.798940544,1,0.169841082,0.2
30.09,1,61.25,1.55,25.49,2,14,1.3,1405.17,Resistance Band Pull-Aparts,1,24.9,362.51,"['rear_delts', 'rhomboids']",upperbody,1,0,0,1,0.924098672,0.5,0.538614801,0.325
24.35,1,60.21,1.79,18.79,1,28,1.97,1538.96,Squats,0,20.12,345.56,"['quads', 'glutes', 'hamstrings']",lowerbody,1,0,0,0,0.85709203,0,0.478563805,0.2
55.87,0,58.91,1.56,24.21,1,15,1.26,1665.97,Dragon Flags,1,10.1,175.21,"['core', 'hip_flexors']",core,1,0,0,0,0.183665402,0.5,0.37754981,0.275
27.59,0,86.65,1.76,27.97,2,12,1.21,1160.63,Plyometric Push-ups,0,21.93,343.48,"['chest', 'shoulders']",upperbody,0,0,1,0,0.848869386,0,0.377330408,0.35
25.12,1,76.46,1.96,19.9,1,0,0.67,663.3,Thrusters,0,18.24,332.71,"['legs', 'shoulders', 'core']",fullbody,1,0,1,0,0.806293485,0,0.720944023,0.55
41.88,1,76.57,1.97,19.73,1,14,1.14,1095.31,Flutter Kicks,1,16.83,348.56,"['lower_abs', 'hip_flexors']",core,1,0,1,0,0.868951613,0.5,0.730342742,0.625
34.01,0,111.91,1.85,32.7,3,13,1.17,842.4,Incline Push-ups,0,14.76,350.32,"['upper_chest', 'shoulders']",upperbody,1,0,0,0,0.875909235,0,0.481386385,0.2
18.05,0,126.66,1.67,45.42,3,13,1.46,1927.2,Jumping Jacks,1,23.98,365.46,['full_body'],fullbody,0,1,1,0,0.935760595,0.5,0.590364089,0.675
31.65,1,126.44,1.83,37.76,3,14,1.09,1178.18,Leg Press,1,18.03,362.61,"['quads', 'glutes']",lowerbody,1,0,0,0,0.924493991,0.5,0.488674099,0.275
40.05,0,70.05,1.55,29.16,2,0,0.86,1040.6,Bear Crawls,2,24.02,353.5,"['shoulders', 'core', 'legs']",fullbody,0,0,1,0,0.888480392,1,0.383272059,0.5
42.77,0,55.56,1.73,18.56,1,25,1.68,1964.09,Decline Push-ups,1,25.12,327.6,"['lower_chest', 'triceps']",upperbody,1,0,0,0,0.786092663,0.5,0.467913899,0.275
56.81,0,81.51,1.86,23.56,1,27,1.81,2590.29,Mountain Climbers,1,20.97,347.91,"['core', 'shoulders', 'legs']",fullbody,0,1,1,0,0.866382037,0.5,0.579957306,0.675
38.21,1,70.74,1.52,30.62,3,13,1.19,1570.8,Lateral Raises,2,21.17,368.97,['lateral_delts'],upperbody,1,0,0,0,0.949636306,1,0.492445446,0.35
55.91,0,88.72,1.68,31.43,3,27,1.77,1381.66,Flutter Kicks,1,22.95,338.84,"['lower_abs', 'hip_flexors']",core,1,0,1,0,0.830526565,0.5,0.724578985,0.625
46.94,0,40.41,1.76,13.05,0,0,0.8,968,Deadlift,1,17.94,334.02,"['glutes', 'hamstrings', 'back']",fullbody,1,0,0,0,0.81147217,0.5,0.471720825,0.275
25.22,1,104.98,1.88,29.7,2,11,1.34,1765.85,Lat Pulldowns,2,15,357.67,"['lats', 'biceps']",upperbody,1,0,0,0,0.904965212,1,0.485744782,0.35
45.12,1,89.7,1.81,27.38,2,26,1.69,1977.3,Tricep Dips,1,14.87,355.44,['triceps'],upperbody,1,0,0,0,0.896149589,0.5,0.484422438,0.275
18.85,0,85.21,1.85,24.9,2,25,1.66,1940.71,Lat Pulldowns,0,17.08,363.72,"['lats', 'biceps']",upperbody,1,0,0,0,0.928882037,0,0.489332306,0.2
52.28,1,82.15,1.72,27.77,2,13,1.02,979.2,Renegade Rows,2,17,342.13,"['lats', 'core']",fullbody,1,0,0,0,0.843532574,1,0.476529886,0.35
20.31,0,76.43,1.62,29.12,2,13,1.36,1305.6,Rows,0,23,331.98,"['lats', 'rhomboids']",upperbody,1,0,0,0,0.803407653,0,0.470511148,0.2
35.1,1,43.89,1.62,16.72,0,0,0.57,689.7,Tricep Extensions,1,20.02,337.14,['triceps'],upperbody,1,0,0,0,0.823806135,0.5,0.47357092,0.275
30.19,0,77.76,1.78,24.54,1,12,1.41,1859.65,Squats,2,15.06,351.28,"['quads', 'glutes', 'hamstrings']",lowerbody,1,0,0,0,0.879704301,1,0.481955645,0.35
55.55,1,62.72,1.86,18.13,0,13,1.38,993.6,Plyo Squats,2,21.85,359.6,"['quads', 'glutes']",lowerbody,0,0,1,0,0.912594877,1,0.386889231,0.5
32.61,0,46.15,1.9,12.78,0,17,1.45,1920.38,Thrusters,1,24.04,337.67,"['legs', 'shoulders', 'core']",fullbody,1,0,1,0,0.825901328,0.5,0.723885199,0.625
22.99,1,59.04,1.78,18.63,1,25,1.67,2386.26,Reverse Lunges,1,24.97,330.19,"['glutes', 'hamstrings']",lowerbody,1,0,0,0,0.796331436,0.5,0.469449715,0.275
32.36,1,84.33,1.74,27.85,2,0,1.46,962.72,Pull-ups,0,19.03,362.42,"['lats', 'biceps']",upperbody,1,0,0,0,0.923742884,0,0.488561433,0.2
29.82,0,121.23,2,30.31,3,17,1.25,903,Squats,1,20.95,349.74,"['quads', 'glutes', 'hamstrings']",lowerbody,1,0,0,0,0.873616382,0.5,0.481042457,0.275
33.47,1,64.49,1.63,24.27,1,26,1.57,2245.1,Box Jumps,1,19.91,337.23,"['glutes', 'quads']",lowerbody,0,0,1,0,0.824161923,0.5,0.373624288,0.425
32.93,1,74.13,1.76,23.93,1,12,1.15,827.31,Leg Raises,2,23.89,370.65,"['lower_abs', 'hip_flexors']",core,1,0,0,0,0.956277672,1,0.493441651,0.35
53.67,1,46.13,1.5,20.5,1,4,1.38,914.11,Windshield Wipers,2,21.06,347.18,"['obliques', 'abs']",core,1,0,0,0,0.863496205,1,0.479524431,0.35
46.07,1,59.73,1.65,21.94,1,25,1.67,2386.26,Turkish Get-ups,2,21.07,367.09,"['full_body', 'core']",fullbody,1,0,0,1,0.942204301,1,0.541330645,0.4
38.86,1,59.33,1.83,17.72,0,13,1.35,1296,Push Ups,2,25.05,354.81,"['chest', 'shoulders', 'triceps']",upperbody,1,0,0,0,0.893659077,1,0.484048861,0.35
18.82,1,48.82,1.52,21.13,2,1,0.96,634.18,Bird Dogs,0,14.9,365.49,"['core', 'lower_back']",core,0,0,0,1,0.93587919,0,0.190381879,0.05
36.06,1,59.59,1.78,18.81,1,0,0.84,553.39,Face Pulls,1,20.02,363.87,"['rear_delts', 'traps']",upperbody,1,0,0,0,0.929475016,0.5,0.489421252,0.275
55.19,1,70.54,1.62,26.88,2,0,0.53,640.13,Tricep Extensions,1,25,345.68,['triceps'],upperbody,1,0,0,0,0.857566414,0.5,0.478634962,0.275
55.16,1,86.69,1.77,27.67,2,14,0.99,951.19,Bear Crawls,1,21.05,336.96,"['shoulders', 'core', 'legs']",fullbody,0,0,1,0,0.82309456,0.5,0.373464184,0.425
58.37,0,51.69,1.79,16.13,0,0,1.12,1352.74,Superman,1,23.04,335.51,"['lower_back', 'glutes']",core,0,0,0,1,0.817362429,0.5,0.172604364,0.125
51.01,1,48.81,1.77,15.58,0,0,1.48,975.91,Tricep Dips,1,16,335.45,['triceps'],upperbody,1,0,0,0,0.817125237,0.5,0.472568786,0.275
22.25,1,61.76,1.52,26.73,2,28,1.83,2144.39,Seated Rows,1,20.97,363.43,"['mid_back', 'lats']",upperbody,1,0,0,0,0.92773561,0.5,0.489160342,0.275
49.35,0,55.38,1.6,21.63,1,23,1.89,2696.46,Jumping Jacks,2,22.11,361.65,['full_body'],fullbody,0,1,1,0,0.920698925,1,0.588104839,0.75
56.94,1,122.07,1.88,34.54,3,1,1.12,986.5,Resistance Band Pull-Aparts,2,18.88,365.17,"['rear_delts', 'rhomboids']",upperbody,1,0,0,1,0.934614168,1,0.540192125,0.4
23.04,0,79.31,1.73,26.5,2,12,1.46,1925.59,Step-ups,0,25.06,335.59,"['glutes', 'quads']",lowerbody,1,0,0,0,0.817678684,0,0.472651803,0.2
