Age,Gender,Weight (kg),Height (m),BMI,Daily meals frequency,meal_name,meal_type,diet_type,cooking_method,Carbs,Proteins,Fats,Calories,Workout_Type,Calories_Burned,cal_balance,goal_label,meal_name_raw,meal_type_raw,diet_type_raw,cooking_method_raw
39.98,1,79.99,1.76,25.82,3.01,151,1,1,6,235.62,94.49,62.77,2030,2,1902.7,127.3,0,Steamed Dinner Keto,Dinner,Keto,Steamed
25.49,0,127.55,1.73,42.62,2.99,44,3,2,1,296.66,117.99,78.86,3313,1,1607.84,1705.16,0,Boiled Snack Low-Carb,Snack,Low-Carb,Boiled
58.24,0,56.96,1.7,19.71,3.0,128,1,2,5,205.31,83.24,55.37,1390,1,895.4,494.6,0,Roasted Dinner Low-Carb,Dinner,Low-Carb,Roasted
48.18,0,56.53,1.51,24.79,3.0,123,0,3,5,215.24,85.55,57.33,1489,0,1311.91,177.09,0,Roasted Breakfast Paleo,Breakfast,Paleo,Roasted
27.19,1,88.2,1.98,22.5,2.02,34,1,4,1,296.47,118.19,79.21,2531,1,2577.96,-46.96,1,Boiled Dinner Vegan,Dinner,Vegan,Boiled
40.14,1,51.72,1.61,19.95,1.99,91,3,1,3,217.46,86.75,57.22,1325,3,566.57,758.43,0,Grilled Snack Keto,Snack,Keto,Grilled
41.1,0,77.05,1.79,24.05,2.99,141,3,3,5,291.2,115.86,77.53,2334,1,1849.54,484.46,0,Roasted Snack Paleo,Snack,Paleo,Roasted
52.36,0,51.93,1.67,18.62,3.01,9,1,3,0,282.27,112.63,74.94,1353,1,1818.3,-465.3,1,Baked Dinner Paleo,Dinner,Paleo,Baked
36.02,0,109.87,1.77,35.07,3.0,119,3,5,4,306.41,122.15,82.17,2728,3,786.11,1941.89,0,Raw Snack Vegetarian,Snack,Vegetarian,Raw
33.07,1,102.83,1.75,33.58,3.0,138,3,0,5,288.65,115.2,76.75,2657,3,1003.8,1653.2,0,Roasted Snack Balanced,Snack,Balanced,Roasted
37.35,0,88.65,1.79,27.67,3.01,36,2,0,1,428.87,171.53,113.84,2621,1,2490.11,130.89,0,Boiled Lunch Balanced,Lunch,Balanced,Boiled
21.24,0,80.78,1.9,22.38,3.01,3,0,3,0,162.37,63.98,42.89,2174,1,2575.98,-401.98,1,Baked Breakfast Paleo,Breakfast,Paleo,Baked
25.76,0,70.53,1.5,31.35,3.0,69,3,3,2,217.65,85.89,58.01,1839,0,1011.08,827.92,0,Fried Snack Paleo,Snack,Paleo,Fried
40.09,1,54.73,1.61,21.11,2.0,156,2,0,6,274.39,109.75,73.35,1549,3,1209.0,340.0,0,Steamed Lunch Balanced,Lunch,Balanced,Steamed
32.59,1,52.75,1.66,19.14,3.01,11,1,5,0,247.09,98.22,66.16,1446,2,1248.53,197.47,0,Baked Dinner Vegetarian,Dinner,Vegetarian,Baked
52.62,0,84.36,1.76,27.23,1.99,75,0,3,3,251.88,100.12,66.98,2285,3,1308.38,976.62,0,Grilled Breakfast Paleo,Breakfast,Paleo,Grilled
58.93,0,59.66,1.76,19.26,3.03,17,2,5,0,201.78,80.95,53.99,1789,0,1787.42,1.58,0,Baked Lunch Vegetarian,Lunch,Vegetarian,Baked
52.03,0,59.98,1.71,20.51,2.04,160,2,4,6,178.89,72.16,48.06,1648,1,1499.04,148.96,0,Steamed Lunch Vegan,Lunch,Vegan,Steamed
30.75,0,76.83,1.62,29.28,1.99,150,1,0,6,312.47,125.01,83.31,2268,3,999.97,1268.03,0,Steamed Dinner Balanced,Dinner,Balanced,Steamed
29.01,1,58.43,1.61,22.54,1.99,12,2,0,0,220.02,87.44,58.56,1771,2,1296.0,475.0,0,Baked Lunch Balanced,Lunch,Balanced,Baked
39.14,0,71.32,1.88,20.18,3.0,50,0,2,2,256.52,101.44,67.94,1934,1,665.5,1268.5,0,Fried Breakfast Low-Carb,Breakfast,Low-Carb,Fried
39.08,1,55.58,1.71,19.01,3.0,119,3,5,4,202.77,81.81,54.86,1656,0,2039.97,-383.97,1,Raw Snack Vegetarian,Snack,Vegetarian,Raw
38.16,0,44.9,1.68,15.91,3.0,52,0,4,2,282.8,113.61,75.84,1242,2,1092.62,149.38,0,Fried Breakfast Vegan,Breakfast,Vegan,Fried
26.29,0,59.21,1.51,25.97,4.01,21,3,3,0,180.13,72.39,48.72,1872,1,2420.42,-548.42,1,Baked Snack Paleo,Snack,Paleo,Baked
26.92,1,87.68,1.63,33.0,4.01,30,1,0,1,410.38,163.87,109.15,2558,2,2052.22,505.78,0,Boiled Dinner Balanced,Dinner,Balanced,Boiled
45.05,1,63.63,1.54,26.83,2.98,119,3,5,4,223.1,89.45,59.04,1918,0,1727.73,190.27,0,Raw Snack Vegetarian,Snack,Vegetarian,Raw
58.04,0,109.54,1.91,30.03,3.01,154,1,4,6,306.96,122.84,81.67,2956,3,1065.6,1890.4,0,Steamed Dinner Vegan,Dinner,Vegan,Steamed
56.29,0,125.88,1.86,36.39,2.99,146,0,2,6,298.21,120.07,79.45,3424,0,960.8,2463.2,0,Steamed Breakfast Low-Carb,Breakfast,Low-Carb,Steamed
50.13,0,70.32,1.68,24.91,3.0,18,3,0,0,298.86,119.65,80.16,1861,2,1147.36,713.64,0,Baked Snack Balanced,Snack,Balanced,Baked
56.77,1,85.56,1.69,29.96,3.01,91,3,1,3,200.87,80.59,53.75,2366,0,1842.22,523.78,0,Grilled Snack Keto,Snack,Keto,Grilled
33.93,0,64.38,1.78,20.32,2.98,119,3,5,4,211.62,84.99,57.28,1731,2,1438.79,292.21,0,Raw Snack Vegetarian,Snack,Vegetarian,Raw
18.77,1,60.51,1.59,23.93,1.99,162,3,0,6,201.97,81.36,54.63,1615,0,1012.92,602.08,0,Steamed Snack Balanced,Snack,Balanced,Steamed
28.33,0,69.13,1.58,27.69,3.0,76,0,4,3,254.78,101.9,68.03,1995,3,1073.69,921.31,0,Grilled Breakfast Vegan,Breakfast,Vegan,Grilled
31.96,1,97.49,1.96,25.38,3.0,43,3,1,1,276.79,109.74,73.73,2502,2,1467.58,1034.42,0,Boiled Snack Keto,Snack,Keto,Boiled
38.76,1,85.97,1.82,25.95,3.0,109,2,1,4,250.06,99.54,66.37,2466,1,2807.11,-341.11,1,Raw Lunch Keto,Lunch,Keto,Raw
36.52,1,56.0,1.57,22.72,2.01,122,0,2,5,208.63,83.47,54.99,1433,2,961.17,471.83,0,Roasted Breakfast Low-Carb,Breakfast,Low-Carb,Roasted
52.85,1,47.69,1.76,15.4,4.01,118,3,4,4,295.15,118.76,79.09,1410,1,1399.2,10.8,0,Raw Snack Vegan,Snack,Vegan,Raw
18.0,0,64.01,1.63,24.09,3.0,40,2,4,1,214.64,85.59,57.27,1758,0,580.8,1177.2,0,Boiled Lunch Vegan,Lunch,Vegan,Boiled
18.0,0,62.43,1.59,24.69,3.01,13,2,1,0,217.52,86.76,58.54,1857,0,1180.8,676.2,0,Baked Lunch Keto,Lunch,Keto,Baked
43.69,0,42.16,1.66,15.3,3.03,151,1,1,6,332.81,133.7,88.57,1142,3,481.8,660.2,0,Steamed Dinner Keto,Dinner,Keto,Steamed
30.47,1,87.22,1.69,30.54,3.0,128,1,2,5,293.13,116.49,78.24,2619,0,1810.99,808.01,0,Roasted Dinner Low-Carb,Dinner,Low-Carb,Roasted
36.85,1,76.15,1.82,22.99,3.02,94,3,4,3,190.36,76.31,50.8,1891,0,1431.59,459.41,0,Grilled Snack Vegan,Snack,Vegan,Grilled
18.8,0,127.92,1.92,34.7,2.99,147,0,3,6,233.71,93.24,61.85,3376,0,1211.62,2164.38,0,Steamed Breakfast Paleo,Breakfast,Paleo,Steamed
24.11,1,58.82,1.76,18.99,2.99,143,3,5,5,296.4,119.17,79.57,1760,3,415.42,1344.58,0,Roasted Snack Vegetarian,Snack,Vegetarian,Roasted
41.04,0,82.17,1.66,29.82,3.99,142,3,4,5,265.42,106.58,71.22,2327,0,2060.78,266.22,0,Roasted Snack Vegan,Snack,Vegan,Roasted
42.15,0,60.3,1.74,19.92,2.99,43,3,1,1,201.73,80.56,53.87,1844,2,2097.52,-253.52,1,Boiled Snack Keto,Snack,Keto,Boiled
28.23,1,79.51,1.59,31.45,1.98,111,2,3,4,207.92,83.89,56.62,2204,1,1950.34,253.66,0,Raw Lunch Paleo,Lunch,Paleo,Raw
53.32,0,55.68,1.55,23.18,2.02,47,3,5,1,218.11,86.97,57.62,1686,3,814.28,871.72,0,Boiled Snack Vegetarian,Snack,Vegetarian,Boiled
43.07,1,66.62,1.85,19.47,2.99,81,1,3,3,294.52,116.97,78.33,1625,0,1038.4,586.6,0,Grilled Dinner Paleo,Dinner,Paleo,Grilled
26.92,1,103.9,1.68,36.81,4.01,66,3,0,2,303.62,121.46,81.55,2877,0,1239.43,1637.57,0,Fried Snack Balanced,Snack,Balanced,Fried
43.35,1,82.51,1.95,21.7,4.01,10,1,4,0,278.15,112.06,74.19,2381,2,2206.2,174.8,0,Baked Dinner Vegan,Dinner,Vegan,Baked
40.03,0,62.99,1.53,26.91,4.01,146,0,2,6,365.05,146.28,97.25,1952,3,1507.72,444.28,0,Steamed Breakfast Low-Carb,Breakfast,Low-Carb,Steamed
41.29,1,43.56,1.77,13.9,2.0,139,3,1,5,275.13,111.49,74.23,1264,3,792.72,471.28,0,Roasted Snack Keto,Snack,Keto,Roasted
19.32,1,73.18,1.79,22.84,3.0,29,0,5,1,218.96,88.29,58.24,2062,3,541.2,1520.8,0,Boiled Breakfast Vegetarian,Breakfast,Vegetarian,Boiled
30.0,1,51.78,1.74,17.1,2.98,0,0,0,0,237.92,94.96,62.69,1524,3,784.8,739.2,0,Baked Breakfast Balanced,Breakfast,Balanced,Baked
51.69,0,70.91,1.72,23.97,2.99,103,1,1,4,231.65,92.08,61.08,1946,1,1732.08,213.92,0,Raw Dinner Keto,Dinner,Keto,Raw
32.54,0,62.21,1.63,23.41,3.01,87,2,3,3,217.93,87.58,57.79,1806,1,2400.55,-594.55,1,Grilled Lunch Paleo,Lunch,Paleo,Grilled
21.87,0,51.25,1.59,20.27,3.0,39,2,3,1,201.46,79.89,53.95,1252,2,1382.4,-130.4,1,Boiled Lunch Paleo,Lunch,Paleo,Boiled
45.08,0,51.38,1.65,18.87,3.0,52,0,4,2,233.19,93.15,61.59,1430,0,1266.05,163.95,0,Fried Breakfast Vegan,Breakfast,Vegan,Fried
34.09,1,66.37,1.62,25.29,3.02,18,3,0,0,208.16,83.98,55.66,1692,2,792.72,899.28,0,Baked Snack Balanced,Snack,Balanced,Baked
58.17,1,109.07,1.91,29.9,2.99,27,0,3,1,305.8,122.92,82.09,2768,3,1067.38,1700.62,0,Boiled Breakfast Paleo,Breakfast,Paleo,Boiled
45.59,1,48.5,1.64,18.03,3.0,92,3,2,3,219.37,87.46,58.36,1372,2,1352.25,19.75,0,Grilled Snack Low-Carb,Snack,Low-Carb,Grilled
25.05,0,64.4,1.71,22.02,3.0,15,2,3,0,208.82,82.8,55.86,1688,1,1355.2,332.8,0,Baked Lunch Paleo,Lunch,Paleo,Baked
37.35,0,54.63,1.57,22.16,3.01,154,1,4,6,204.42,82.01,54.55,1576,2,1298.08,277.92,0,Steamed Dinner Vegan,Dinner,Vegan,Steamed
54.23,0,50.32,1.61,19.41,2.0,26,0,2,1,312.49,124.84,83.15,1231,1,1806.18,-575.18,1,Boiled Breakfast Low-Carb,Breakfast,Low-Carb,Boiled
36.43,1,69.06,1.65,25.37,2.01,166,3,4,6,256.16,101.94,68.39,1920,3,810.32,1109.68,0,Steamed Snack Vegan,Snack,Vegan,Steamed
18.16,1,73.38,1.55,30.54,1.99,96,0,0,4,188.06,75.78,50.59,1951,0,729.07,1221.93,0,Raw Breakfast Balanced,Breakfast,Balanced,Raw
47.62,1,68.77,1.74,22.71,3.02,161,2,5,6,308.94,122.86,82.31,1807,2,1597.07,209.93,0,Steamed Lunch Vegetarian,Lunch,Vegetarian,Steamed
37.42,1,102.84,1.89,28.79,1.98,131,1,5,5,285.22,114.39,76.12,2633,3,356.08,2276.92,0,Roasted Dinner Vegetarian,Dinner,Vegetarian,Roasted
32.14,0,49.31,1.62,18.79,3.02,28,0,4,1,247.43,99.43,66.25,1346,1,1556.3,-210.3,1,Boiled Breakfast Vegan,Breakfast,Vegan,Boiled
30.09,1,61.25,1.55,25.49,2.99,100,0,4,4,197.25,79.67,52.71,1620,2,1405.17,214.83,0,Raw Breakfast Vegan,Breakfast,Vegan,Raw
24.35,1,60.21,1.79,18.79,2.99,20,3,2,0,222.66,89.14,59.41,1664,3,1538.96,125.04,0,Baked Snack Low-Carb,Snack,Low-Carb,Baked
55.87,0,58.91,1.56,24.21,3.01,149,0,5,6,302.69,122.1,80.96,1689,1,1665.97,23.03,0,Steamed Breakfast Vegetarian,Breakfast,Vegetarian,Steamed
27.59,0,86.65,1.76,27.97,3.0,8,1,2,0,276.43,109.4,73.46,2403,0,1160.63,1242.37,0,Baked Dinner Low-Carb,Dinner,Low-Carb,Baked
25.12,1,76.46,1.96,19.9,1.99,139,3,1,5,240.27,97.05,64.21,2041,2,663.3,1377.7,0,Roasted Snack Keto,Snack,Keto,Roasted
41.88,1,76.57,1.97,19.73,4.01,2,0,2,0,194.99,78.38,51.54,2220,0,1095.31,1124.69,0,Baked Breakfast Low-Carb,Breakfast,Low-Carb,Baked
34.01,0,111.91,1.85,32.7,2.0,33,1,3,1,284.57,112.18,75.28,3011,3,842.4,2168.6,0,Boiled Dinner Paleo,Dinner,Paleo,Boiled
18.05,0,126.66,1.67,45.42,2.99,111,2,3,4,295.7,118.88,78.45,3265,1,1927.2,1337.8,0,Raw Lunch Paleo,Lunch,Paleo,Raw
31.65,1,126.44,1.83,37.76,2.98,12,2,0,0,306.18,123.12,81.64,3287,2,1178.18,2108.82,0,Baked Lunch Balanced,Lunch,Balanced,Baked
40.05,0,70.05,1.55,29.16,3.99,138,3,0,5,283.55,111.76,74.73,1909,1,1040.6,868.4,0,Roasted Snack Balanced,Snack,Balanced,Roasted
42.77,0,55.56,1.73,18.56,3.02,140,3,2,5,302.12,121.29,80.75,1440,2,1964.09,-524.09,1,Roasted Snack Low-Carb,Snack,Low-Carb,Roasted
56.81,0,81.51,1.86,23.56,3.0,63,2,3,2,226.58,90.86,60.19,2115,1,2590.29,-475.29,1,Fried Lunch Paleo,Lunch,Paleo,Fried
38.21,1,70.74,1.52,30.62,2.99,34,1,4,1,320.19,127.97,85.18,1902,1,1570.8,331.2,0,Boiled Dinner Vegan,Dinner,Vegan,Boiled
55.91,0,88.72,1.68,31.43,3.01,9,1,3,0,196.91,78.21,51.68,2334,3,1381.66,952.34,0,Baked Dinner Paleo,Dinner,Paleo,Baked
46.94,0,40.41,1.76,13.05,4.01,18,3,0,0,251.34,99.57,66.64,1328,1,968.0,360.0,0,Baked Snack Balanced,Snack,Balanced,Baked
25.22,1,104.98,1.88,29.7,4.0,122,0,2,5,197.85,79.85,53.1,2867,1,1765.85,1101.15,0,Roasted Breakfast Low-Carb,Breakfast,Low-Carb,Roasted
45.12,1,89.7,1.81,27.38,4.03,127,1,1,5,283.6,113.15,75.36,2638,2,1977.3,660.7,0,Roasted Dinner Keto,Dinner,Keto,Roasted
18.85,0,85.21,1.85,24.9,2.99,152,1,2,6,314.61,125.15,83.93,2440,2,1940.71,499.29,0,Steamed Dinner Low-Carb,Dinner,Low-Carb,Steamed
52.28,1,82.15,1.72,27.77,3.0,35,1,5,1,222.12,88.64,59.16,2206,0,979.2,1226.8,0,Boiled Dinner Vegetarian,Dinner,Vegetarian,Boiled
20.31,0,76.43,1.62,29.12,2.01,164,3,2,6,200.77,80.5,53.3,2094,0,1305.6,788.4,0,Steamed Snack Low-Carb,Snack,Low-Carb,Steamed
35.1,1,43.89,1.62,16.72,1.97,67,3,1,2,170.94,68.59,46.07,1281,1,689.7,591.3,0,Fried Snack Keto,Snack,Keto,Fried
30.19,0,77.76,1.78,24.54,3.98,16,2,4,0,284.52,114.08,76.54,2071,1,1859.65,211.35,0,Baked Lunch Vegan,Lunch,Vegan,Baked
55.55,1,62.72,1.86,18.13,2.99,132,2,0,5,152.5,61.33,40.94,1671,3,993.6,677.4,0,Roasted Lunch Balanced,Lunch,Balanced,Roasted
32.61,0,46.15,1.9,12.78,3.01,153,1,3,6,178.08,71.33,47.78,1252,1,1920.38,-668.38,1,Steamed Dinner Paleo,Dinner,Paleo,Steamed
22.99,1,59.04,1.78,18.63,2.0,65,2,5,2,280.91,112.28,75.28,1637,1,2386.26,-749.26,1,Fried Lunch Vegetarian,Lunch,Vegetarian,Fried
32.36,1,84.33,1.74,27.85,3.02,136,2,4,5,184.84,73.95,49.16,2210,3,962.72,1247.28,0,Roasted Lunch Vegan,Lunch,Vegan,Roasted
29.82,0,121.23,2.0,30.31,3.01,73,0,1,3,241.12,96.32,64.31,3333,3,903.0,2430.0,0,Grilled Breakfast Keto,Breakfast,Keto,Grilled
33.47,1,64.49,1.63,24.27,3.99,31,1,1,1,246.03,97.66,65.39,1803,1,2245.1,-442.1,1,Boiled Dinner Keto,Dinner,Keto,Boiled
32.93,1,74.13,1.76,23.93,4.0,131,1,5,5,181.25,71.54,47.69,1987,3,827.31,1159.69,0,Roasted Dinner Vegetarian,Dinner,Vegetarian,Roasted
53.67,1,46.13,1.5,20.5,2.0,6,1,0,0,287.13,114.97,76.58,1343,3,914.11,428.89,0,Baked Dinner Balanced,Dinner,Balanced,Baked
46.07,1,59.73,1.65,21.94,3.0,33,1,3,1,311.41,125.01,83.71,1574,1,2386.26,-812.26,1,Boiled Dinner Paleo,Dinner,Paleo,Boiled
38.86,1,59.33,1.83,17.72,1.97,84,2,0,3,217.06,86.76,57.94,1649,0,1296.0,353.0,0,Grilled Lunch Balanced,Lunch,Balanced,Grilled
18.82,1,48.82,1.52,21.13,3.01,3,0,3,0,177.43,71.03,47.33,1132,3,634.18,497.82,0,Baked Breakfast Paleo,Breakfast,Paleo,Baked
36.06,1,59.59,1.78,18.81,3.01,2,0,2,0,344.62,138.1,92.14,1603,3,553.39,1049.61,0,Baked Breakfast Low-Carb,Breakfast,Low-Carb,Baked
55.19,1,70.54,1.62,26.88,3.0,67,3,1,2,218.95,87.65,57.53,2112,1,640.13,1471.87,0,Fried Snack Keto,Snack,Keto,Fried
55.16,1,86.69,1.77,27.67,2.99,88,2,4,3,254.49,101.72,67.79,2339,0,951.19,1387.81,0,Grilled Lunch Vegan,Lunch,Vegan,Grilled
58.37,0,51.69,1.79,16.13,2.99,160,2,4,6,217.32,88.31,58.5,1505,1,1352.74,152.26,0,Steamed Lunch Vegan,Lunch,Vegan,Steamed
51.01,1,48.81,1.77,15.58,2.0,74,0,2,3,386.21,154.31,103.28,1488,3,975.91,512.09,0,Grilled Breakfast Low-Carb,Breakfast,Low-Carb,Grilled
22.25,1,61.76,1.52,26.73,3.0,73,0,1,3,305.65,122.16,80.72,1937,2,2144.39,-207.39,1,Grilled Breakfast Keto,Breakfast,Keto,Grilled
49.35,0,55.38,1.6,21.63,4.0,56,1,2,2,213.56,86.3,56.79,1699,1,2696.46,-997.46,1,Fried Dinner Low-Carb,Dinner,Low-Carb,Fried
56.94,1,122.07,1.88,34.54,3.01,107,1,5,4,195.87,80.39,52.4,3114,0,986.5,2127.5,0,Raw Dinner Vegetarian,Dinner,Vegetarian,Raw
23.04,0,79.31,1.73,26.5,3.01,20,3,2,0,224.18,90.32,60.01,2126,1,1925.59,200.41,0,Baked Snack Low-Carb,Snack,Low-Carb,Baked
38.73,1,61.49,1.66,22.31,3.01,96,0,0,4,225.95,90.81,60.73,1700,2,921.54,778.46,0,Raw Breakfast Balanced,Breakfast,Balanced,Raw
59.07,0,41.14,1.65,15.11,3.0,31,1,1,1,211.14,84.99,56.6,1258,3,811.06,446.94,0,Boiled Dinner Keto,Dinner,Keto,Boiled
50.87,0,49.82,1.61,19.22,2.01,94,3,4,3,191.62,75.85,51.06,1262,3,896.78,365.22,0,Grilled Snack Vegan,Snack,Vegan,Grilled
39.92,0,57.36,1.71,19.62,1.98,161,2,5,6,194.34,76.87,51.6,1735,3,1457.48,277.52,0,Steamed Lunch Vegetarian,Lunch,Vegetarian,Steamed
32.99,1,46.09,1.89,12.9,3.01,7,1,1,0,177.94,72.16,47.8,1438,3,1044.0,394.0,0,Baked Dinner Keto,Dinner,Keto,Baked
57.41,1,108.85,1.91,29.84,2.99,105,1,3,4,305.92,122.26,81.34,2706,1,1983.3,722.7,0,Raw Dinner Paleo,Dinner,Paleo,Raw
57.39,1,75.84,1.67,27.19,3.0,27,0,3,1,273.72,109.31,72.9,2144,0,1007.16,1136.84,0,Boiled Breakfast Paleo,Breakfast,Paleo,Boiled
50.06,0,56.07,1.6,21.9,4.01,137,2,5,5,214.4,85.91,57.36,1735,3,1467.53,267.47,0,Roasted Lunch Vegetarian,Lunch,Vegetarian,Roasted
39.67,0,76.94,1.92,20.87,2.98,88,2,4,3,280.48,112.05,74.85,2287,3,811.57,1475.43,0,Grilled Lunch Vegan,Lunch,Vegan,Grilled
23.37,1,60.61,1.59,23.97,3.02,84,2,0,3,222.97,89.21,59.85,1617,1,2570.04,-953.04,1,Grilled Lunch Balanced,Lunch,Balanced,Grilled
47.27,1,97.6,1.9,27.04,3.0,108,2,0,4,238.42,94.43,62.77,2617,2,741.15,1875.85,0,Raw Lunch Balanced,Lunch,Balanced,Raw
49.94,1,51.05,1.69,17.87,1.99,161,2,5,6,265.03,105.56,70.27,1432,3,870.41,561.59,0,Steamed Lunch Vegetarian,Lunch,Vegetarian,Steamed
